Nombre;Direccion;Barrio;ContactoTelefono;Categoria;Subcategoria;ContactoMail;Descripcion;lon;lat;Autoridades
Centro de Jub Bernardo Ader C.J.B.A.;Triunvirato 3920;Villa Adelina;4763-6538;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5500481;-34.5300688;
Unión Fraternal de Jubilados y Pensionados de Carapachay;Ramón Castro 5755;Carapachay;4765-1049;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.534858;-34.5265983;
Asociación Amigos de la Estación Carapachay;Guido Spano 5740;Carapachay;4766-9942;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5372647;-34.5287402;
Centro de Jubilados y Pensionados de Carapachay;Ascasubi 5704;Carapachay;4756-5791 /4762-4838;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5369281;-34.5309431;
Agrupación de Jubilados Rivadavia;Gaboto 4968;Carapachay;4763-6088;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5316468;-34.5170309;
Centro de Jubilados y Pensionados M. Belgrano de Carapachay;Ramon Castro 5175;Carapachay;4790-0374 /4762-9975;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5285619;-34.5221191;
Centro de Jubilados y Pensionados Luna de Otoño;Guido Spano 5740;Carapachay;4766-2601 /4762-9747;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5372647;-34.5287402;
Agrupacion Central de Jubilados y Pensionados del Partido de Vicente López;Fray. M. Esquiú 2325;Munro;47200396  o 47560582;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5334432;-34.5373978;
Centro de Jubilados y Pensionados Textiles 27 de Octubre;Virrey Olaguer Feliú 4030;Munro;4730-1720;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.5139254;-34.5302938;
Club de la Tercera Edad Ferrocarril General Belgrano;G. Méndez 2602;Munro;4756-3310;Adultos Mayores;NA;;"Lorem ipsum dolor sit amet consectetur adipiscing elit netus ante, cum primis habitasse eu malesuada montes pretium. Eros gravida urna nisi scelerisque aliquet class sed nulla, fusce dapibus convallis cubilia lacinia vivamus. Luctus imperdiet scelerisque sed gravida nostra ad primis cursus morbi interdum curabitur, tristique ac massa mauris eu fames est eros at feugiat semper, purus ultrices consequat et facilisi hendrerit taciti pulvinar integer ultricies.

Ut mattis vitae integer porttitor porta himenaeos quisque torquent, vulputate eu rhoncus leo ad litora neque, egestas eget arcu nulla donec maecenas nibh. Litora quam faucibus mus enim justo tristique tempus urna, egestas gravida vulputate iaculis integer ut facilisis dictumst, netus fringilla parturient magnis pellentesque sociis orci. Porta ut nulla eu ligula accumsan enim natoque dis dapibus ac, fringilla felis vel faucibus convallis leo pretium netus quam, molestie conubia inceptos cras proin quis habitant taciti feugiat.";-58.526173;-34.5303468;
